region,Time,sex,edu,agest,prjpropfinal
11,2025,m,e1,15,0.8812812820741972
12,2025,m,e1,15,2.1642728850794533
13,2025,m,e1,15,1.9963450258714872
14,2025,m,e1,15,1.7665148125033072
15,2025,m,e1,15,1.3370037446627447
16,2025,m,e1,15,0.6704865394285348
17,2025,m,e1,15,0.7315345647629622
21,2025,m,e1,15,1.3664100627168132
22,2025,m,e1,15,1.046599534271236
23,2025,m,e1,15,0.8461188601688003
24,2025,m,e1,15,0.7221508389342681
25,2025,m,e1,15,0.9071037816703512
26,2025,m,e1,15,1.1427239958709754
27,2025,m,e1,15,1.4324607634581157
28,2025,m,e1,15,1.0299238817513097
29,2025,m,e1,15,1.180724859334585
31,2025,m,e1,15,0.616953104580286
32,2025,m,e1,15,0.5066813063320188
33,2025,m,e1,15,0.6504983588441858
35,2025,m,e1,15,0.5659693406178499
41,2025,m,e1,15,0.5229991562013989
42,2025,m,e1,15,0.42148618635764007
43,2025,m,e1,15,0.5097922445601292
50,2025,m,e1,15,0.5358272652845268
51,2025,m,e1,15,0.7902883537749981
52,2025,m,e1,15,0.5510728798949998
53,2025,m,e1,15,0.5234836955684827
11,2030,m,e1,15,0.6508163239622955
12,2030,m,e1,15,1.6213088224594594
13,2030,m,e1,15,1.5041155109085569
14,2030,m,e1,15,1.3009351131037654
15,2030,m,e1,15,1.0202691508395394
16,2030,m,e1,15,0.49409883590910336
17,2030,m,e1,15,0.5372406407150462
21,2030,m,e1,15,1.024203645869999
22,2030,m,e1,15,0.7876717495795739
23,2030,m,e1,15,0.6223554765639863
24,2030,m,e1,15,0.5377875017209149
25,2030,m,e1,15,0.6828734410137394
26,2030,m,e1,15,0.8587273791738866
27,2030,m,e1,15,1.0922624452231844
28,2030,m,e1,15,0.7814141102952143
29,2030,m,e1,15,0.8930026133512563
31,2030,m,e1,15,0.4510324228993145
32,2030,m,e1,15,0.36949923993374223
33,2030,m,e1,15,0.4764550808228634
35,2030,m,e1,15,0.4082935359256352
41,2030,m,e1,15,0.3795972107019817
42,2030,m,e1,15,0.30424970437433
43,2030,m,e1,15,0.3712158812072343
50,2030,m,e1,15,0.3925026498011002
51,2030,m,e1,15,0.5773848289038352
52,2030,m,e1,15,0.4016585637318937
53,2030,m,e1,15,0.3782263038718321
11,2035,m,e1,15,0.4935803960085645
12,2035,m,e1,15,1.2402389696334
13,2035,m,e1,15,1.156739849929915
14,2035,m,e1,15,0.98375331568487
15,2035,m,e1,15,0.7921206437587447
16,2035,m,e1,15,0.37373662813290687
17,2035,m,e1,15,0.40572224591328254
21,2035,m,e1,15,0.7850300883333483
22,2035,m,e1,15,0.6054517995083316
23,2035,m,e1,15,0.4704018817839097
24,2035,m,e1,15,0.410002985580017
