region,Time,sex,edu,agest,asfr
52,2040,f,e2,15,130.30685094292082
53,2040,f,e2,15,97.7631347653405
11,2045,f,e2,15,147.38888128105827
12,2045,f,e2,15,138.3475098997479
13,2045,f,e2,15,156.60748843235854
14,2045,f,e2,15,243.5995667812443
15,2045,f,e2,15,138.4163558011103
16,2045,f,e2,15,145.57289936834576
17,2045,f,e2,15,172.31846669591218
21,2045,f,e2,15,145.11746649679995
22,2045,f,e2,15,146.36591815566302
23,2045,f,e2,15,105.40944353391428
24,2045,f,e2,15,124.33619048124773
25,2045,f,e2,15,117.12841814032032
26,2045,f,e2,15,129.64490455860374
27,2045,f,e2,15,138.46517948745122
28,2045,f,e2,15,126.60504488474461
29,2045,f,e2,15,111.28325303430252
31,2045,f,e2,15,86.5868313461247
32,2045,f,e2,15,123.26288126644661
33,2045,f,e2,15,97.9687369534574
35,2045,f,e2,15,87.87462813840217
41,2045,f,e2,15,111.6936952345076
42,2045,f,e2,15,110.97605206049995
43,2045,f,e2,15,98.5556647310466
50,2045,f,e2,15,171.1615455984765
51,2045,f,e2,15,137.06515409445186
52,2045,f,e2,15,130.30685094292082
53,2045,f,e2,15,97.7631347653405
11,2050,f,e2,15,147.38888128105827
12,2050,f,e2,15,138.3475098997479
13,2050,f,e2,15,156.60748843235854
14,2050,f,e2,15,243.5995667812443
15,2050,f,e2,15,138.4163558011103
16,2050,f,e2,15,145.57289936834576
17,2050,f,e2,15,172.31846669591218
21,2050,f,e2,15,145.11746649679995
22,2050,f,e2,15,146.36591815566302
23,2050,f,e2,15,105.40944353391428
24,2050,f,e2,15,124.33619048124773
25,2050,f,e2,15,117.12841814032032
26,2050,f,e2,15,129.64490455860374
27,2050,f,e2,15,138.46517948745122
28,2050,f,e2,15,126.60504488474461
29,2050,f,e2,15,111.28325303430252
31,2050,f,e2,15,86.5868313461247
32,2050,f,e2,15,123.26288126644661
33,2050,f,e2,15,97.9687369534574
35,2050,f,e2,15,87.87462813840217
41,2050,f,e2,15,111.6936952345076
42,2050,f,e2,15,110.97605206049995
43,2050,f,e2,15,98.5556647310466
50,2050,f,e2,15,171.1615455984765
51,2050,f,e2,15,137.06515409445186
52,2050,f,e2,15,130.30685094292082
53,2050,f,e2,15,97.7631347653405
11,2055,f,e2,15,147.38888128105827
12,2055,f,e2,15,138.3475098997479
13,2055,f,e2,15,156.60748843235854
14,2055,f,e2,15,243.5995667812443
15,2055,f,e2,15,138.4163558011103
16,2055,f,e2,15,145.57289936834576
17,2055,f,e2,15,172.31846669591218
21,2055,f,e2,15,145.11746649679995
22,2055,f,e2,15,146.36591815566302
23,2055,f,e2,15,105.40944353391428
24,2055,f,e2,15,124.33619048124773
25,2055,f,e2,15,117.12841814032032
26,2055,f,e2,15,129.64490455860374
27,2055,f,e2,15,138.46517948745122
28,2055,f,e2,15,126.60504488474461
29,2055,f,e2,15,111.28325303430252
31,2055,f,e2,15,86.5868313461247
32,2055,f,e2,15,123.26288126644661
33,2055,f,e2,15,97.9687369534574
35,2055,f,e2,15,87.87462813840217
41,2055,f,e2,15,111.6936952345076
42,2055,f,e2,15,110.97605206049995
43,2055,f,e2,15,98.5556647310466
50,2055,f,e2,15,171.1615455984765
51,2055,f,e2,15,137.06515409445186
52,2055,f,e2,15,130.30685094292082
53,2055,f,e2,15,97.7631347653405
11,2010,f,e3,15,127.28217193111172
12,2010,f,e3,15,161.02144079980278
13,2010,f,e3,15,146.31882956850703
14,2010,f,e3,15,196.40971565681684
15,2010,f,e3,15,135.45713207022763
16,2010,f,e3,15,159.9644859669768
17,2010,f,e3,15,174.42921859520433
21,2010,f,e3,15,136.1887910379673
22,2010,f,e3,15,116.71882623415816
23,2010,f,e3,15,107.3376151740954
24,2010,f,e3,15,103.71898457771808
25,2010,f,e3,15,107.24670027246204
26,2010,f,e3,15,122.59860249663181
27,2010,f,e3,15,119.97360554965924
28,2010,f,e3,15,100.39321118181923
29,2010,f,e3,15,103.5367205095894
31,2010,f,e3,15,106.56783710847198
32,2010,f,e3,15,125.4100712445409
33,2010,f,e3,15,117.16538710383914
35,2010,f,e3,15,131.50052003039636
41,2010,f,e3,15,133.77882504519317
42,2010,f,e3,15,121.61147026574432
43,2010,f,e3,15,108.67590441698708
50,2010,f,e3,15,159.31696476124304
51,2010,f,e3,15,169.0061888733418
52,2010,f,e3,15,131.96028038444194
53,2010,f,e3,15,119.99152838906872
11,2015,f,e3,15,133.1007855051054
12,2015,f,e3,15,151.62852341981423
13,2015,f,e3,15,144.3765442202525
14,2015,f,e3,15,196.40971565681684
15,2015,f,e3,15,131.26773623300411
16,2015,f,e3,15,149.44050662704413
17,2015,f,e3,15,171.67507303843797
21,2015,f,e3,15,131.19757880097373
22,2015,f,e3,15,117.40139246944565
23,2015,f,e3,15,106.69487496347206
24,2015,f,e3,15,104.35141741050904
25,2015,f,e3,15,107.24670027246204
26,2015,f,e3,15,129.08911674645353
27,2015,f,e3,15,112.8783923182278
28,2015,f,e3,15,99.24586019688417
29,2015,f,e3,15,101.64275611002375
31,2015,f,e3,15,111.50806796780512
32,2015,f,e3,15,135.2908647365351
33,2015,f,e3,15,128.95561473692987
35,2015,f,e3,15,138.63006629710458
41,2015,f,e3,15,140.90314117186028
42,2015,f,e3,15,134.08444157505141
43,2015,f,e3,15,120.6725951643168
50,2015,f,e3,15,159.31696476124304
51,2015,f,e3,15,169.0061888733418
52,2015,f,e3,15,146.9937300484923
53,2015,f,e3,15,121.38677871917416
11,2020,f,e3,15,122.19088505386725
12,2020,f,e3,15,126.80438462984466
13,2020,f,e3,15,130.7805467824709
14,2020,f,e3,15,196.40971565681684
15,2020,f,e3,15,119.39778136087074
16,2020,f,e3,15,128.3925479471788
17,2020,f,e3,15,159.7404422924503
21,2020,f,e3,15,119.07606336827509
22,2020,f,e3,15,110.57573011657091
23,2020,f,e3,15,98.98199243599217
24,2020,f,e3,15,93.60005925306268
25,2020,f,e3,15,104.16489854049476
26,2020,f,e3,15,116.10808824681014
27,2020,f,e3,15,105.13815970212072
28,2020,f,e3,15,90.06705231740354
29,2020,f,e3,15,95.9608629113268
31,2020,f,e3,15,104.45059531161492
32,2020,f,e3,15,127.690254358078
33,2020,f,e3,15,112.00716251436197
35,2020,f,e3,15,122.78663014886409
41,2020,f,e3,15,129.82087164148922
42,2020,f,e3,15,134.8640022818831
43,2020,f,e3,15,109.38159210800646
50,2020,f,e3,15,159.31696476124304
51,2020,f,e3,15,169.0061888733418
52,2020,f,e3,15,133.63066368044753
53,2020,f,e3,15,103.24852442780332
11,2025,f,e3,15,122.19088505386725
12,2025,f,e3,15,126.80438462984466
13,2025,f,e3,15,130.7805467824709
14,2025,f,e3,15,196.40971565681684
15,2025,f,e3,15,119.39778136087074
16,2025,f,e3,15,128.3925479471788
17,2025,f,e3,15,159.7404422924503
21,2025,f,e3,15,119.07606336827509
22,2025,f,e3,15,110.57573011657091
23,2025,f,e3,15,98.98199243599217
24,2025,f,e3,15,93.60005925306268
25,2025,f,e3,15,104.16489854049476
26,2025,f,e3,15,116.10808824681014
27,2025,f,e3,15,105.13815970212072
28,2025,f,e3,15,90.06705231740354
29,2025,f,e3,15,95.9608629113268
31,2025,f,e3,15,104.45059531161492
32,2025,f,e3,15,127.690254358078
33,2025,f,e3,15,112.00716251436197
35,2025,f,e3,15,122.78663014886409
41,2025,f,e3,15,129.82087164148922
42,2025,f,e3,15,134.8640022818831
43,2025,f,e3,15,109.38159210800646
50,2025,f,e3,15,159.31696476124304
51,2025,f,e3,15,169.0061888733418
52,2025,f,e3,15,133.63066368044753
53,2025,f,e3,15,103.24852442780332
11,2030,f,e3,15,122.19088505386725
12,2030,f,e3,15,126.80438462984466
13,2030,f,e3,15,130.7805467824709
14,2030,f,e3,15,196.40971565681684
15,2030,f,e3,15,119.39778136087074
16,2030,f,e3,15,128.3925479471788
17,2030,f,e3,15,159.7404422924503
21,2030,f,e3,15,119.07606336827509
22,2030,f,e3,15,110.57573011657091
23,2030,f,e3,15,98.98199243599217
24,2030,f,e3,15,93.60005925306268
25,2030,f,e3,15,104.16489854049476
26,2030,f,e3,15,116.10808824681014
27,2030,f,e3,15,105.13815970212072
28,2030,f,e3,15,90.06705231740354
29,2030,f,e3,15,95.9608629113268
31,2030,f,e3,15,104.45059531161492
32,2030,f,e3,15,127.690254358078
33,2030,f,e3,15,112.00716251436197
35,2030,f,e3,15,122.78663014886409
41,2030,f,e3,15,129.82087164148922
42,2030,f,e3,15,134.8640022818831
43,2030,f,e3,15,109.38159210800646
50,2030,f,e3,15,159.31696476124304
51,2030,f,e3,15,169.0061888733418
52,2030,f,e3,15,133.63066368044753
53,2030,f,e3,15,103.24852442780332
11,2035,f,e3,15,122.19088505386725
12,2035,f,e3,15,126.80438462984466
13,2035,f,e3,15,130.7805467824709
14,2035,f,e3,15,196.40971565681684
15,2035,f,e3,15,119.39778136087074
16,2035,f,e3,15,128.3925479471788
17,2035,f,e3,15,159.7404422924503
21,2035,f,e3,15,119.07606336827509
22,2035,f,e3,15,110.57573011657091
23,2035,f,e3,15,98.98199243599217
24,2035,f,e3,15,93.60005925306268
25,2035,f,e3,15,104.16489854049476
26,2035,f,e3,15,116.10808824681014
27,2035,f,e3,15,105.13815970212072
28,2035,f,e3,15,90.06705231740354
29,2035,f,e3,15,95.9608629113268
31,2035,f,e3,15,104.45059531161492
32,2035,f,e3,15,127.690254358078
33,2035,f,e3,15,112.00716251436197
35,2035,f,e3,15,122.78663014886409
