sex,age,education,area,pop
Female,20--24,No Education,41,7216.157931272058
Female,20--24,No Education,42,3295.083358295985
Female,20--24,No Education,43,5467.157552377276
Female,20--24,No Education,50,2062.447166427945
Female,20--24,No Education,51,3510.74300189469
Female,20--24,No Education,52,4729.06618209493
Female,20--24,No Education,53,1939.1432680239159
Female,20--24,Incomplete Primary,11,6159.486595580767
Female,20--24,Incomplete Primary,12,3834.364901462793
Female,20--24,Incomplete Primary,13,16847.575599668708
Female,20--24,Incomplete Primary,14,1350.6106189458176
Female,20--24,Incomplete Primary,15,44119.392363830775
Female,20--24,Incomplete Primary,16,2584.762353917216
Female,20--24,Incomplete Primary,17,3641.889075641535
Female,20--24,Incomplete Primary,21,29869.438770358327
Female,20--24,Incomplete Primary,22,13696.983545857835
Female,20--24,Incomplete Primary,23,24902.84816287953
Female,20--24,Incomplete Primary,24,10053.04367042078
Female,20--24,Incomplete Primary,25,14212.484807709474
Female,20--24,Incomplete Primary,26,34139.72964553917
Female,20--24,Incomplete Primary,27,16518.37120761278
Female,20--24,Incomplete Primary,28,9297.763196964284
Female,20--24,Incomplete Primary,29,51891.236825088105
Female,20--24,Incomplete Primary,31,40260.199799122085
Female,20--24,Incomplete Primary,32,7982.698457064872
Female,20--24,Incomplete Primary,33,29309.166475602793
Female,20--24,Incomplete Primary,35,69506.96982977886
Female,20--24,Incomplete Primary,41,19949.115313021604
Female,20--24,Incomplete Primary,42,9939.43025316502
Female,20--24,Incomplete Primary,43,16438.13628359875
Female,20--24,Incomplete Primary,50,6272.15680595561
Female,20--24,Incomplete Primary,51,8179.900179110766
Female,20--24,Incomplete Primary,52,12415.788411667252
Female,20--24,Incomplete Primary,53,4096.882345812647
Female,20--24,Primary,11,11999.27118344754
Female,20--24,Primary,12,4507.826862385244
Female,20--24,Primary,13,28336.216235387823
Female,20--24,Primary,14,2215.5288456355484
Female,20--24,Primary,15,70708.20531585171
Female,20--24,Primary,16,4122.3760796528595
Female,20--24,Primary,17,8672.540046964803
Female,20--24,Primary,21,58133.63642361632
Female,20--24,Primary,22,25664.35083960245
Female,20--24,Primary,23,59076.75632750904
Female,20--24,Primary,24,27186.009719225964
Female,20--24,Primary,25,32991.10766339708
Female,20--24,Primary,26,76780.39142995463
Female,20--24,Primary,27,33996.90623697723
Female,20--24,Primary,28,18143.488818956197
Female,20--24,Primary,29,112349.83747074884
Female,20--24,Primary,31,106839.97365896303
Female,20--24,Primary,32,20339.06415451444
Female,20--24,Primary,33,70804.05147059333
Female,20--24,Primary,35,148452.2683406793
Female,20--24,Primary,41,52079.38453593114
Female,20--24,Primary,42,24753.485171811313
Female,20--24,Primary,43,51726.16925725698
Female,20--24,Primary,50,16910.797229796113
Female,20--24,Primary,51,18812.35847470131
Female,20--24,Primary,52,32883.13614864732
Female,20--24,Primary,53,10705.641261987723
Female,20--24,Lower Secondary,11,17229.624902080315
Female,20--24,Lower Secondary,12,8044.907439770302
Female,20--24,Lower Secondary,13,40292.90489225429
Female,20--24,Lower Secondary,14,4100.0050699781905
Female,20--24,Lower Secondary,15,96750.24483519053
Female,20--24,Lower Secondary,16,7864.530060831564
Female,20--24,Lower Secondary,17,13975.536866656223
Female,20--24,Lower Secondary,21,84225.33425472194
Female,20--24,Lower Secondary,22,38613.252633529635
Female,20--24,Lower Secondary,23,106306.84977858911
Female,20--24,Lower Secondary,24,33130.105043033334
Female,20--24,Lower Secondary,25,38567.20993023722
Female,20--24,Lower Secondary,26,94554.00275768484
Female,20--24,Lower Secondary,27,35035.554819443
Female,20--24,Lower Secondary,28,23207.326329469768
Female,20--24,Lower Secondary,29,154350.6710841657
Female,20--24,Lower Secondary,31,195913.31970361253
Female,20--24,Lower Secondary,32,34251.26342962739
Female,20--24,Lower Secondary,33,148827.40393310835
Female,20--24,Lower Secondary,35,378552.3322947861
Female,20--24,Lower Secondary,41,99916.42654802014
Female,20--24,Lower Secondary,42,61919.441912785085
Female,20--24,Lower Secondary,43,104091.52370791766
Female,20--24,Lower Secondary,50,22255.90438905379
Female,20--24,Lower Secondary,51,32610.169547329493
Female,20--24,Lower Secondary,52,61567.077005878426
Female,20--24,Lower Secondary,53,22260.977808041578
Female,20--24,Upper Secondary,11,33644.78582974751
Female,20--24,Upper Secondary,12,14565.921185562871
Female,20--24,Upper Secondary,13,67382.26561981153
Female,20--24,Upper Secondary,14,11474.35633731825
Female,20--24,Upper Secondary,15,137681.48164687312
Female,20--24,Upper Secondary,16,17134.717716918945
Female,20--24,Upper Secondary,17,33510.44951177128
Female,20--24,Upper Secondary,21,134345.97011119098
Female,20--24,Upper Secondary,22,65038.02897354348
Female,20--24,Upper Secondary,23,200772.4057535934
Female,20--24,Upper Secondary,24,75107.85179766585
Female,20--24,Upper Secondary,25,78324.93009383325
Female,20--24,Upper Secondary,26,182709.72675383993
Female,20--24,Upper Secondary,27,53782.2278812909
Female,20--24,Upper Secondary,28,43890.45219723154
Female,20--24,Upper Secondary,29,299344.7635036118
Female,20--24,Upper Secondary,31,441021.47562032245
Female,20--24,Upper Secondary,32,83550.57785893008
Female,20--24,Upper Secondary,33,349120.64687492757
Female,20--24,Upper Secondary,35,983963.7523810868
Female,20--24,Upper Secondary,41,224861.6371621894
Female,20--24,Upper Secondary,42,147432.16654949667
Female,20--24,Upper Secondary,43,225479.77572113668
Female,20--24,Upper Secondary,50,51693.65649548882
Female,20--24,Upper Secondary,51,66540.30175194703
Female,20--24,Upper Secondary,52,140766.4367214416
Female,20--24,Upper Secondary,53,72502.60524700723
Female,20--24,Post Secondary,11,3984.7569580861987
Female,20--24,Post Secondary,12,1976.3625288545336
Female,20--24,Post Secondary,13,6820.967681519921
Female,20--24,Post Secondary,14,1259.2609683458265
Female,20--24,Post Secondary,15,10524.859770158926
Female,20--24,Post Secondary,16,1842.8564521400845
Female,20--24,Post Secondary,17,4242.240805277705
Female,20--24,Post Secondary,21,9281.295167109665
Female,20--24,Post Secondary,22,6044.093581251983
Female,20--24,Post Secondary,23,14028.939443801582
Female,20--24,Post Secondary,24,6225.761683458634
Female,20--24,Post Secondary,25,6531.938171430374
Female,20--24,Post Secondary,26,15420.480113137726
Female,20--24,Post Secondary,27,4416.17720145722
Female,20--24,Post Secondary,28,4838.129873846869
Female,20--24,Post Secondary,29,20427.66361107932
Female,20--24,Post Secondary,31,61039.36011440901
Female,20--24,Post Secondary,32,12518.731201608334
Female,20--24,Post Secondary,33,47549.36301291307
Female,20--24,Post Secondary,35,186985.34220653758
Female,20--24,Post Secondary,41,45414.455668566756
Female,20--24,Post Secondary,42,30933.4084769933
Female,20--24,Post Secondary,43,30092.365730130638
Female,20--24,Post Secondary,50,9486.037913278074
Female,20--24,Post Secondary,51,10729.284474767861
Female,20--24,Post Secondary,52,22404.767061485207
Female,20--24,Post Secondary,53,13579.222919856928
Female,25--29,No Education,11,2481.1288021542
