area,year,age_interval,edu,sex,n
14,1991,15-19,e5,1,260.61673744
14,1991,20-24,e1,0,1455.22547363
14,1991,20-24,e1,1,2004.78322005
14,1991,20-24,e2,0,983.03833785
14,1991,20-24,e2,1,2106.09986831
14,1991,20-24,e3,0,3419.78930707
14,1991,20-24,e3,1,5214.76313874
14,1991,20-24,e4,0,2299.26938524
14,1991,20-24,e4,1,2124.48641894
14,1991,20-24,e5,0,1474.27537931
14,1991,20-24,e5,1,1115.63773013
14,1991,20-24,e6,0,95.84354066
14,1991,20-24,e6,1,46.25209874
14,1991,25-29,e1,0,1383.19439426
14,1991,25-29,e1,1,2268.54570739
14,1991,25-29,e2,0,1107.73342072
14,1991,25-29,e2,1,3397.54628278
14,1991,25-29,e3,0,2876.10180213
14,1991,25-29,e3,1,4809.50168099
14,1991,25-29,e4,0,1606.13950074
14,1991,25-29,e4,1,2097.06609147
14,1991,25-29,e5,0,1871.57396003
14,1991,25-29,e5,1,1328.52529248
14,1991,25-29,e6,0,269.49883668
14,1991,25-29,e6,1,251.89203906
14,1991,30-34,e1,0,1373.0270423
14,1991,30-34,e1,1,2407.87453233
14,1991,30-34,e2,0,1084.16522094
14,1991,30-34,e2,1,2060.45398461
14,1991,30-34,e3,0,2084.68186739
14,1991,30-34,e3,1,3872.02492631
14,1991,30-34,e4,0,1124.04862335
14,1991,30-34,e4,1,1151.41314764
14,1991,30-34,e5,0,1578.13936421
14,1991,30-34,e5,1,1222.34975525
14,1991,30-34,e6,0,317.75458712
14,1991,30-34,e6,1,232.91924726
14,1991,35-39,e1,0,1416.78727789
14,1991,35-39,e1,1,1806.94057532
14,1991,35-39,e2,0,889.58445588
14,1991,35-39,e2,1,1465.44504722
14,1991,35-39,e3,0,1484.81351944
14,1991,35-39,e3,1,2003.84218525
14,1991,35-39,e4,0,891.17935257
14,1991,35-39,e4,1,766.64272284
14,1991,35-39,e5,0,918.73489378
14,1991,35-39,e5,1,854.47900463
14,1991,35-39,e6,0,202.78387342
14,1991,35-39,e6,1,295.77910428
14,1991,40-44,e1,0,1315.84772248
14,1991,40-44,e1,1,2164.87177787
14,1991,40-44,e2,0,592.49246601
14,1991,40-44,e2,1,1234.76910213
