age_group,year,area,npx,sex
0,2044,Acre,0.988156387713492,male
1,2044,Acre,0.9983438700256893,male
5,2044,Acre,0.9992033022000255,male
10,2044,Acre,0.9985727438032527,male
15,2044,Acre,0.9941176134883762,male
20,2044,Acre,0.9921884537245926,male
25,2044,Acre,0.9920842672784528,male
30,2044,Acre,0.9900273453548052,male
35,2044,Acre,0.9883289628022375,male
40,2044,Acre,0.9838758955544658,male
45,2044,Acre,0.9770560338249527,male
50,2044,Acre,0.970165860538937,male
55,2044,Acre,0.9532635747487578,male
60,2044,Acre,0.9338230067202897,male
65,2044,Acre,0.911466712236281,male
70,2044,Acre,0.8576316345065265,male
75,2044,Acre,0.7788559473678509,male
80,2044,Acre,0.7001988033489793,male
85,2044,Acre,0.5612021966152831,male
90,2044,Acre,0,male
0,2045,Acre,0.9881918542238946,male
1,2045,Acre,0.9983560764850523,male
5,2045,Acre,0.9992084820746018,male
10,2045,Acre,0.9985832270958495,male
15,2045,Acre,0.9941582392933414,male
20,2045,Acre,0.992237913370496,male
25,2045,Acre,0.9921376676568457,male
30,2045,Acre,0.9900977934679661,male
35,2045,Acre,0.9884072152825951,male
40,2045,Acre,0.9839771496114338,male
45,2045,Acre,0.9771839799949079,male
50,2045,Acre,0.9703087624662149,male
